benchmark;jvm;options;iteration;duration;CPU;DRAM;exitcode
lusearch;J9;Metronome;2;3832743.943;237250000.0;49190000.0;0
lusearch;J9;Nogc;2;4038484.675;262590000.0;54780000.0;0
lusearch;J9;Optavgpause;2;3962074.637;225270000.0;50480000.0;0
lusearch;J9;Optthruput;2;3512906.712;218950000.0;44790000.0;0
lusearch;OPEN;default;2;3643435.104;247670000.0;57470000.0;0
lusearch;OPEN;G1;2;3547915.316;240500000.0;54240000.0;0
lusearch;OPEN;5Parallel;2;3347716.4189999998;206060000.0;47570000.0;0
lusearch;OPEN;5Concurent;2;3491697.256;236170000.0;55820000.0;0
lusearch;OPEN;1Parallel;2;3350794.3239999996;231820000.0;54360000.0;0
lusearch;OPEN;1Concurent;2;3301518.173;218610000.0;50240000.0;0
lusearch;OPEN;DisableExplicitGC;2;3435188.596000001;231760000.0;54420000.0;0
lusearch;OPEN;ParallelCG;2;3742053.6;240000000.0;55790000.0;0
lusearch;OPEN;ParallelOldGC;2;3817596.067;261480000.00000003;56430000.0;0
lusearch;OPEN;SerialGC;2;3651490.3210000005;249250000.0;55610000.0;0
lusearch;OPEN;Epsilon;2;3507466.6580000003;211510000.0;52740000.0;0
lusearch-fix;Graal;default;2;3100848.338;186110000.0;45560000.0;0
lusearch-fix;Graal;G1;2;3267214.9910000004;193700000.0;47160000.0;0
lusearch-fix;Graal;5Parallel;2;3125711.35;189910000.0;43330000.0;0
lusearch-fix;Graal;5Concurent;2;3042770.606;183040000.0;44490000.0;0
lusearch-fix;Graal;1Parallel;2;3178237.0510000004;199320000.0;48370000.0;0
lusearch-fix;Graal;1Concurent;2;3034833.191;184860000.0;45470000.0;0
lusearch-fix;Graal;DisableExplicitGC;2;3309584.982;193190000.0;47310000.0;0
lusearch-fix;Graal;ParallelCG;2;3200869.8170000007;197770000.0;48370000.0;0
lusearch-fix;Graal;ParallelOldGC;2;3030477.15;179880000.0;43430000.0;0
lusearch-fix;J9;default;2;3381886.02;193910000.0;41900000.0;0
lusearch-fix;J9;ConcurrentScavenge;2;3901363.215;236010000.0;50230000.0;0
lusearch-fix;J9;ScvNoAdaptiveTenure;2;3803296.763;221460000.0;46850000.0;0
lusearch-fix;J9;Balanced;2;4349932.248;260330000.0;54550000.0;0
lusearch-fix;J9;Gencon;2;3388727.1610000003;199360000.0;42120000.0;0
lusearch-fix;J9;Metronome;2;3764090.589;230260000.0;48510000.0;0
lusearch-fix;J9;Nogc;2;3558272.861;216300000.0;44960000.0;0
lusearch-fix;J9;Optavgpause;2;4025704.311;218330000.0;49320000.0;0
lusearch-fix;J9;Optthruput;2;3634285.855;227360000.0;46770000.0;0
lusearch-fix;OPEN;default;2;3398682.997;232640000.0;53440000.0;0
