options;jvm;benchmark;pvalues;utests;effectsize
5Parallel;OPEN;lusearch;0.19982465733238353;110.0;0.34911242603550297
DisableExplicitGC;OPEN;lusearch;0.9591007702858605;83.0;0.5088757396449705
ParallelCG;OPEN;lusearch;0.9591007702858605;86.0;0.4911242603550296
ParallelOldGC;OPEN;lusearch;0.5383007490187228;72.0;0.5739644970414202
1Concurent;OPEN;lusearch;0.30506082202155305;105.0;0.378698224852071
SerialGC;OPEN;lusearch;0.30506082202155305;64.0;0.621301775147929
5Concurent;OPEN;lusearch;0.8374719604535413;89.0;0.47337278106508873
G1;OPEN;lusearch;0.57268433313998;96.0;0.4319526627218935
Epsilon;OPEN;lusearch;0.7196142711598057;92.0;0.4556213017751479
1Parallel;OPEN;lusearch;0.4119238236601619;101.0;0.40236686390532544
5Parallel;OPEN;lusearch-fix;1.0;85.0;0.4970414201183432
DisableExplicitGC;OPEN;lusearch-fix;0.06482406269018001;48.0;0.7159763313609467
ParallelCG;OPEN;lusearch-fix;0.13690028303155113;55.0;0.6745562130177515
ParallelOldGC;OPEN;lusearch-fix;0.3832389639892464;67.0;0.6035502958579881
1Concurent;OPEN;lusearch-fix;0.32979564736829103;65.0;0.6153846153846154
SerialGC;OPEN;lusearch-fix;0.004787493665766146;29.0;0.8284023668639053
5Concurent;OPEN;lusearch-fix;0.47271321684785583;70.0;0.5857988165680473
G1;OPEN;lusearch-fix;0.08117864425550061;50.0;0.7041420118343196
Epsilon;OPEN;lusearch-fix;0.6443557307838531;75.0;0.5562130177514792
1Parallel;OPEN;lusearch-fix;0.5049122505246781;71.0;0.5798816568047337
5Parallel;OPEN;pmd;0.57268433313998;73.0;0.5680473372781065
DisableExplicitGC;OPEN;pmd;0.19982465733238353;110.0;0.34911242603550297
ParallelCG;OPEN;pmd;3.269330273511375e-05;166.0;0.01775147928994083
ParallelOldGC;OPEN;pmd;0.7196142711598057;92.0;0.4556213017751479
1Concurent;OPEN;pmd;0.3833202927297332;67.0;0.6035502958579881
SerialGC;OPEN;pmd;0.002481066720811377;144.0;0.14792899408284024
5Concurent;OPEN;pmd;0.3298783320498747;104.0;0.38461538461538464
G1;OPEN;pmd;0.57268433313998;96.0;0.4319526627218935
Epsilon;OPEN;pmd;0.0577704316108834;47.0;0.7218934911242604
1Parallel;OPEN;pmd;0.00018140976675221646;11.0;0.9349112426035503
5Parallel;OPEN;sunflow;0.57268433313998;96.0;0.4319526627218935
DisableExplicitGC;OPEN;sunflow;0.01383425638570893;133.0;0.21301775147928995
ParallelCG;OPEN;sunflow;0.08123065302087974;119.0;0.2958579881656805
ParallelOldGC;OPEN;sunflow;0.15103152823115532;113.0;0.33136094674556216
1Concurent;OPEN;sunflow;0.2184091866192417;109.0;0.35502958579881655
SerialGC;OPEN;sunflow;0.4727889073230682;70.0;0.5857988165680473
5Concurent;OPEN;sunflow;0.259233298673899;107.0;0.3668639053254438
G1;OPEN;sunflow;0.2184091866192417;109.0;0.35502958579881655
Epsilon;OPEN;sunflow;1.6496665061862602e-05;169.0;0.0
1Parallel;OPEN;sunflow;0.0017587738815587582;146.0;0.13609467455621302
5Parallel;OPEN;als;0.14367208180696023;5.0;0.8
DisableExplicitGC;OPEN;als;0.012185780355344813;25.0;0.0
ParallelCG;OPEN;als;0.012185780355344813;25.0;0.0
ParallelOldGC;OPEN;als;0.5308693039685082;9.0;0.64
1Concurent;OPEN;als;0.06010280593886631;3.0;0.88
SerialGC;OPEN;als;0.012185780355344813;25.0;0.0
5Concurent;OPEN;als;0.6761033140231469;15.0;0.4
G1;OPEN;als;0.2100750407866585;6.0;0.76
