benchmark;jvm;options;iteration;exitcode;duration;DRAM;CPU
fj-kmeans;15.0.1.j9-adpt; -XcompilationThreads7;1;0;16586076;300378413;1261656438
fj-kmeans;15.0.1.j9-adpt; -Xjit:count=0;1;0;30838985;503306612;2293192617
fj-kmeans;15.0.1.j9-adpt; -Xjit:count=1;1;0;20468065;364829219;1850326013
fj-kmeans;15.0.1.j9-adpt; -Xjit:count=10;1;0;16042983;296808495;1297748020
fj-kmeans;15.0.1.j9-adpt; -Xjit:count=100;1;0;15867981;297474779;1256023090
fj-kmeans;15.0.1.j9-adpt; -Xjit:optlevel=cold;1;0;18353793;335070658;1577329032
fj-kmeans;15.0.1.j9-adpt; -Xjit:optlevel=warm;1;0;15321370;285877257;1219841421
fj-kmeans;15.0.1.j9-adpt; -Xjit:optlevel=hot;1;0;17622003;328933614;1471342853
fj-kmeans;15.0.1.j9-adpt; -Xjit:optlevel=veryhot;1;0;33461992;544160106;2408494933
fj-kmeans;15.0.1.j9-adpt; -Xjit:optlevel=scorching;1;0;36744413;590310857;2689517346
fj-kmeans;15.0.1-open;default;1;0;11504463;241718104;925214794
fj-kmeans;15.0.1-open; -XX:-TieredCompilation;1;0;11256527;239143452;895250578
fj-kmeans;15.0.1-open; -XX:TieredStopAtLevel=1;1;0;14473250;293329138;1249051917
fj-kmeans;15.0.1-open; -XX:TieredStopAtLevel=4;1;0;11573329;244892627;937921487
fj-kmeans;15.0.1-open; -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCI -XX:-UseJVMCICompiler;1;0;11392218;242140172;920343469
avrora;20.2.0.r11-grl;default;2;0;68923907;916547555;3606969160
avrora;20.2.0.r11-grl; -XX:-UseJVMCICompiler;2;0;70136775;933559581;3716365730
avrora;20.2.0.r11-grl; -Dgraal.CompilerConfiguration=economy;2;0;69472959;925552018;3817430229
avrora;15.0.1.j9-adpt;default;2;0;31743408;440022018;2123847102
avrora;15.0.1.j9-adpt; -XcompilationThreads1;2;0;32263753;443351834;2136834190
avrora;15.0.1.j9-adpt; -XcompilationThreads3;2;0;32023661;439361317;2133695954
avrora;15.0.1.j9-adpt; -XcompilationThreads7;2;0;30631108;425020704;2056033189
avrora;15.0.1.j9-adpt; -Xjit:count=0;2;0;39508933;538534709;2455008975
avrora;15.0.1.j9-adpt; -Xjit:count=1;2;0;32143106;443543787;2171360714
avrora;15.0.1.j9-adpt; -Xjit:count=10;2;0;30917549;425020628;2075272946
avrora;15.0.1.j9-adpt; -Xjit:count=100;2;0;31361162;430607622;2088314661
avrora;15.0.1.j9-adpt; -Xjit:optlevel=cold;2;0;32061600;441596893;2159565150
avrora;15.0.1.j9-adpt; -Xjit:optlevel=warm;2;0;30846452;421285025;2044333878
avrora;15.0.1.j9-adpt; -Xjit:optlevel=hot;2;0;33911745;467314050;2322585119
avrora;15.0.1.j9-adpt; -Xjit:optlevel=veryhot;2;0;47504055;648367993;3344910626
avrora;15.0.1.j9-adpt; -Xjit:optlevel=scorching;2;0;50861705;693129810;3600788451
avrora;15.0.1-open;default;2;0;72905334;973424617;4043468164
avrora;15.0.1-open; -XX:-TieredCompilation;2;0;72252684;960513483;3992402316
avrora;15.0.1-open; -XX:TieredStopAtLevel=1;2;0;68846963;915733443;3773325301
avrora;15.0.1-open; -XX:TieredStopAtLevel=4;2;0;72790798;968658851;4040092686
avrora;15.0.1-open; -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCI -XX:-UseJVMCICompiler;2;0;71940493;959333241;3981785644
h2;20.2.0.r11-grl;default;2;0;40664353;561997580;2071704230
h2;20.2.0.r11-grl; -XX:-UseJVMCICompiler;2;0;36882005;506056358;2004718866
h2;20.2.0.r11-grl; -Dgraal.CompilerConfiguration=economy;2;0;54863495;738305126;2570827037
h2;15.0.1.j9-adpt;default;2;0;45973552;630072359;2337334471
h2;15.0.1.j9-adpt; -XcompilationThreads1;2;0;50031225;681542953;2571674203
h2;15.0.1.j9-adpt; -XcompilationThreads3;2;0;45992688;631269263;2382054327
h2;15.0.1.j9-adpt; -XcompilationThreads7;2;0;47266041;646690440;2393531165
