benchmark;jvm;options;iteration;duration;CPU;DRAM
dotty;14.0.2-open;default;1;40739895.765;2637610000.0;582550000.0
dotty;13.0.2-open;default;1;42737540.867;2974100000.0;609390000.0
dotty;12.0.2-open;default;1;42958506.448;2763530000.0;610620000.0
dotty;11.0.2-open;default;1;41807290.981;2775470000.0;594350000.0
dotty;10.0.2-open;default;1;44542131.061;2979980000.0;639970000.0
dotty;9.0.4-open;default;1;47701813.511;3109470000.0;685290000.0
dotty;8.0.265-open;default;1;36100665.986999996;2471390000.0;516260000.0
dotty;20.2.0.0-mandrel;default;1;41675475.761999995;2822350000.0;596160000.0
dotty;15.0.1-sapmchn;default;1;39549683.535;2597060000.0;563360000.0
dotty;14.0.2-sapmchn;default;1;41234533.901;2683970000.0;588450000.0
dotty;13.0.2-sapmchn;default;1;42657557.972;2939940000.0;608970000.0
dotty;12.0.2-sapmchn;default;1;42223597.524;2753180000.0;599380000.0
dotty;11.0.9-sapmchn;default;1;41882153.395;2801550000.0;600430000.0
dotty;11.0.9-trava;default;1;40889673.967999995;2708620000.0;582050000.0
dotty;8.0.232-trava;default;1;37339285.887;2476620000.0;525470000.0
fj-kmeans;15.0.1.j9-adpt;default;1;2388425.825;99140000.0;24720000.0
fj-kmeans;15.0.1.hs-adpt;default;1;1918525.607;72010000.0;18670000.0
fj-kmeans;14.0.2.j9-adpt;default;1;2249309.975;99010000.0;24230000.0
fj-kmeans;14.0.2.hs-adpt;default;1;1784130.027;71930000.0;19680000.0
fj-kmeans;13.0.2.j9-adpt;default;1;2268036.901;96530000.0;24850000.0
fj-kmeans;13.0.2.hs-adpt;default;1;1878775.408;72230000.0;19410000.0
fj-kmeans;12.0.2.j9-adpt;default;1;2310197.8249999997;96960000.0;23780000.0
fj-kmeans;12.0.2.hs-adpt;default;1;1963610.798;75620000.0;20010000.0
